nome;coluna;3T23;2T23;1T23;4T22;3T22;2T22;1T22;4T21;3T21;2T21;1T21;4T20;3T20;2T20;1T20;4T19;3T19;2T19;1T19;4T18;3T18;2T18;1T18;4T17;3T17;2T17;1T17;4T16;3T16;2T16;1T16
Jaguatirica II;Geração Líquida (GWh);185;166;164;139;121;98;31;;;;;;;;;;;;;;;;;;;;;;;;
Jaguatirica II;Geração Bruta (GWh);194;174;172;147;128;103;32;;;;;;;;;;;;;;;;;;;;;;;;
Jaguatirica II;Geração para ACR (%);100;100.0;100.0;100.0;100.0;100.0;100.0;;;;;;;;;;;;;;;;;;;;;;;;
Jaguatirica II;Geração para ACL (%);0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;
Jaguatirica II;Receita Variável Líquida (R$/MWh)1;0;240;240;236;226;226;268;;;;;;;;;;;;;;;;;;;;;;;;
Jaguatirica II;CVU (R$/MWh)2;240;240;240;225;225;225;212;;;;;;;;;;;;;;;;;;;;;;;;
Porto de Sergipe;Disponibilidade (%);97;97;97;96;79;84;95;72;;;;;;;;;;;;;;;;;;;;;;;
Porto de Sergipe;Despacho (%);0;0;0;0;0;0;26;100;;;;;;;;;;;;;;;;;;;;;;;
Porto de Sergipe;Geração Líquida (GWh);0;0;0;0;2;0;785;2395;;;;;;;;;;;;;;;;;;;;;;;
Porto de Sergipe;Geração Bruta (GWh);0;0;0;0;2;0;805;2452;;;;;;;;;;;;;;;;;;;;;;;
Porto de Sergipe;Geração para ACR (%);0.0;0.0;0.0;0.0;100.0;0.0;100.0;100.0;;;;;;;;;;;;;;;;;;;;;;;
Porto de Sergipe;Geração para ACL (%);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;
Porto de Sergipe;Receita Variável Líquida (R$/MWh)1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Porto de Sergipe;CVU (R$/MWh)2;321;321;321;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Fortaleza;Disponibilidade (%);100;100;59;100;100;100;100;25;;;;;;;;;;;;;;;;;;;;;;;
Fortaleza;Despacho (%);0;0;0;0;0;0;0;6;;;;;;;;;;;;;;;;;;;;;;;
Fortaleza;Geração Líquida (GWh);0;0;0;0;0;0;0;45;;;;;;;;;;;;;;;;;;;;;;;
Fortaleza;Geração Bruta (GWh);0;0;0;0;0;0;0;45;;;;;;;;;;;;;;;;;;;;;;;
Fortaleza;Geração para ACR (%);0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;;;;;;;;;;;;;;;;;;;;;;;
Fortaleza;Geração para ACL (%);0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;
Fortaleza;Receita Variável Líquida (R$/MWh)1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Fortaleza;CVU (R$/MWh)2;265;265;265;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
